,Job Title,Location,Data,Link,Job Attibutes,Job Descripts
1,ABA Technicians or RBTs," (Boston, MetroWest, Merrimack)",Jan-04,https://boston.craigslist.org/gbs/edu/d/aba-technicians-or-rbts/6787290017.html,"
compensation: $15-$28/ hour

employment type: part-time

","

QR Code Link to This Post


Are you looking for a career where you make a difference? Are you looking for free ongoing training including Registered Behavior Technician Training? 

If you are outgoing, dedicated to making a difference in the lives of those affected with Autism, desire to be part of a dynamic, professional group atmosphere, and are driven to be a part of a company that focuses all our energies on the CLIENT, we want to hear from you!

Boston ABA , a local provider of in home ABA services serving Massachusetts is seeking well qualified, positive and enthusiastic ABA instructors. Instructors are supported by a great team of experienced and trained BCBAs.

Our mission is to maximize the potential of the clients we serve. We believe in putting our clients first, doing the right thing, striving to improve every day, working as a team and having fun! We are proud to have a talented group of professionals dedicated to providing quality services. We are continuing to grow our business and expand our team of experienced, caring and positive individuals to deliver the best evidence based behavior programs possible for individuals with unique abilities.
We believe that every child can learn, and it is our job, as educators, to make that happen. Each child and family presents to us a unique set of strengths, joys, challenges and struggles. We work as a team with the family, school and other service providers to ensure maximum learning of functional, applicable, and achievable skills.

We believe a cohesive and positive team is not only possible but essential in creating meaningful programs. Each child's program is individualized, utilizing research based methodologies of applied behavior analysis.

Frequent supervision with your BCBA/Supervisor and on-going staff trainings provides you the opportunity to develop and grow professionally, as well as, make the most effective progress with your clients.

We offer:
Excellent free on the job training including RBT Training
Health insurance
401 K Retirement plan
Clinical supervision
Supportive Work Atmosphere
Flexible Schedule
Part time: $15-$28/ hour.

Requirements:
* A minimum of 48 college credit hours or a Bachelor's degree, or GED/HS Diploma and 500 hours of past employment providing ABA services
* Prior training or experience in ABA techniques
* Prior Experience with Autism
* Effective oral and written communication skills
* Reliable means of transportation required
*Ability to lift 50 lbs

Please respond with a cover letter and Resume in Word format.
Many locations across Metro West, Metro Boston and points North and South 
For up to date postings visit us at: https://www.bostonaba.com/careers.php "
2,Immediate Openings for Online SAT/ACT Tutors!, (Online),Jan-04,https://boston.craigslist.org/nos/edu/d/middleton-immediate-openings-for-online/6787216214.html,"
compensation: $15-$18/hr to start DOE, with potential to earn up to $45/hr as you gain experience

employment type: part-time

telecommuting okay

","

QR Code Link to This Post




APPLY NOW!"
3,"Flexible, Part-Time Tutor Positions! Will Train!"," (Marshfield, Duxbury, Plymouth)",Jan-04,https://boston.craigslist.org/sob/edu/d/duxbury-flexible-part-time-tutor/6787212420.html,"
compensation: $25-50/hr Paid training. Curriculum provided. Raise opportunities!

employment type: part-time

","

QR Code Link to This Post




Fill out our three-minute application here.

StudyPoint is a national leader in one-to-one in-home tutoring. We've been on the Inc. 5,000 list of the fastest growing companies in America seven years in a row, and we've been voted one of the country's Most Engaged Workplaces. We specialize in test prep (SAT and ACT). This is a flexible part-time tutoring job that fits with any schedule!
Qualifications"
4,Northeast Arc Open Interview Day 1/9, (Danvers),Jan-04,https://boston.craigslist.org/nos/edu/d/danvers-northeast-arc-open-interview/6787090685.html,"
compensation: DOE

employment type: employee's choice

non-profit organization

","

QR Code Link to This Post


Looking to start the new year with new opportunities? If you're thinking of making a career change and want to be a part of a mission based organization committed to changing lives, Northeast Arc and Northeast Clinical Services may have the opportunity you're looking for! 
Join us for our open interview day Wednesday, January 9th 8am- 4pm  (1 Southside Rd. Danvers) 
Bring a copy of your resume and stop by for an on the spot interview with one of our recruiters! 

We'll be looking for...
-	Van Drivers
-	Direct Support Professionals
-	ABA Therapists 
-	Registered Nurses 
-	And More!! 
Full time, part time, and per diem positions available. 

For a full list of employment opportunities or to apply online any time visit https://ne-arc.org/about-us/join-our-team/  or https://neclinical.applicantstack.com/x/openings
"
5,EEC Certified Teachers, (Hanover),Jan-04,https://boston.craigslist.org/sob/edu/d/hanover-eec-certified-teachers/6786983635.html,"
compensation: TBD

employment type: full-time

","

QR Code Link to This Post


Small, family oriented childcare center in Hanover is seeking EEC certified educators. We are looking for teachers who are reliable, professional, eager, responsible, fun-loving, and a team player. Applicant must be able to work 4 10hr days with a day off during the week. Paid holidays and vacations. Serious inquiries only, please.    "
6,Instructor - Tutor - Paid Training, (Newton),Jan-04,https://boston.craigslist.org/gbs/edu/d/newton-center-instructor-tutor-paid/6786708429.html,"
compensation: $16.00/hour

employment type: part-time

","

QR Code Link to This Post


About the Instructor (Tutor) Position: 
We are looking for energetic, positive individuals to work as Instructors (Tutors) in a Lindamood-Bell® Learning Center. We teach students of all ages to read and comprehend to their potential, including those with a previous diagnosis such as dyslexia or an autism spectrum disorder.

These are regular part-time positions.   Paid training in the programs used by Lindamood-Bell is provided.

Lindamood-Bell instruction is implemented by our Instructional Quality (IQ) Team, and utilizes our co-founders' research-validated programs.  As a member of the IQ Team, the Instructor works one-to-one with students, delivering instruction per each student's lesson plan.

About Lindamood-Bell Instructors: 
•	Our Instructors benefit from being a part of the IQ Team: accepting and adjusting to feedback in a positive manner, for the benefit of instructional quality. 
•	Our Instructors employ a Socratic questioning method to help students develop their language and literacy skills.
•	Our Instructors implement positive-reinforcement strategies that maximize learning--in a cheerful and authentic manner.  
•	Many of our Instructors have a background in education. However, successful candidates may instead have a background in childcare, coaching, youth leadership, camp counseling, mentoring, or the performing arts.
•	Our Instructors have excellent reading, spelling, and comprehension skills.
•	Our Instructors have a passion for helping others reach their potential.

Responsibilities: 
•	Provide one-to-one instruction based upon each client's learning needs
•	Work with Center Director, Associate Center Director, and Consultant to implement client plans
•	Interact positively and professionally with clients and staff to provide a safe and positive learning environment

Benefits: 
We believe in the importance of investing in our employees so every member of our Star Cast can succeed to his or her potential. We provide our eligible Star Cast members traditional benefit packages, discounts, and additional perks. Eligibility varies with employment level, location, and may be subject to additional terms and conditions.

If you become part of our Star Cast, here are possible benefits for which you will be eligible:

•	Paid time off - 8 paid Holidays, Vacation, Sick, and Closure Hours
•	Optional group Medical, Dental, and Vision coverage
•	Optional Flexible Spending Account
•	100% employer-paid Disability and Life insurance policies
•	Employees who meet specific criteria may also be eligible for a 401(k)
•	Company-wide discounts on many services and products including Lindamood-Bell® Instruction, Apple products, cell phones, and auto rental deals

About Us: 
Lindamood-Bell is an internationally recognized leader in the research and remediation of learning difficulties. Our Learning Centers are located across the United States, as well as in Australia, Canada, Singapore, and the United Kingdom.  We provide professional development to educators around the world. Over the years we have partnered with institutions including MIT, Wake Forest University, and Georgetown University, to allow for independent analysis of our instruction. Our work has been recognized by the U.S. Department of Education, and has been reviewed in scientific journals such as Neuron and NeuroImage.  Reporting on our success has appeared in: Newsweek, US News and World Report, CNN, BBC and PBS, among others. 

For more information, we invite you to visit our website at LindamoodBell.com.

To Apply: 
Please apply directly at: https://lindamoodbell-openhire.silkroad.com/epostings/index.cfm?fuseaction=app.jobinfo&jobid=1217

Lindamood-Bell is an Equal Opportunity Employer.

Lindamood-Bell Learning Processes follows applicable requirements regarding applicants and criminal histories. 

Instructor, Educator, Teach, Teacher, Tutor, Tutoring, Education, Training, Learning, Clinician 

"
7,Lead teacher (childcare center), (Lexington),Jan-04,https://boston.craigslist.org/gbs/edu/d/belmont-lead-teacher-childcare-center/6786644629.html,"
compensation: Varies based on background/experience

employment type: full-time

","

QR Code Link to This Post


Are you passionate about working with young children?

Do you love helping your students learn, explore and achieve their full potential?

Do you like to provide creative curriculum planning and activities that speak to the whole child?

Are you looking to belong to a school that is committed to providing the best possible learning environment for children, families and teachers?

Are you looking for administrators that support, values and understand what is needed to succeed in the classroom?

YOU WILL FIND THAT HERE AT THE GODDARD SCHOOL OF LEXINGTON!!

We are proud that our teachers inspire children to be lifelong learners using both Goddard and NAEYC guidelines to develop a curriculum that promotes social, physical, language, and cognitive development.

We have openings for full time, year-round Infant, Toddler and Preschool Teachers for our brand new state-of-the-art school. This teacher works as part of a team with already established teachers.

The Goddard School® is a renowned program for children 6 weeks to 6 years with a Piaget based foundation. We continue to set the standard for excellence by engaging the best educators possible and providing them with the tools they need to be successful. We create an environment where teachers support the nurturing and learning every child needs.

Required:
- EEC Certification preferred (or we will help you get it!)
- A two or four-year degree in Early Childhood Education or related field
- or current enrollment in education courses in pursuit of a degree
- or CDA
- Offer on-the-job-training

AND
- Have a passion for teaching
- Nurturing and loving style
- Strong Communication skills
- Dependability
- Team player in a co-teaching environment
- Strong knowledge of Child Development

The Goddard School® is an Equal Opportunity Employer and provides outstanding opportunities including:

-Competitive compensation and benefits

-Medical Insurance
-PTO
-retirement saving
-Education Reimbursement

-Career Advancement and Coaching
-State of the art facilities

"
8,After School Program - Chess Instructor," (Hanover, MAA)",Jan-03,https://boston.craigslist.org/gbs/edu/d/hanover-after-school-program-chess/6786387078.html,"
compensation: $50-$65 per hour/class

employment type: part-time

","

QR Code Link to This Post


Chess Wizards is looking for energetic people to teach chess in an elementary classroom setting.  If having fun at work is an alien concept to you, then this is probably not the best job to consider!  But if you love chess, and feel you can make it fun for kids of all ages, then you have probably found the perfect job (the only drawback: it is part-time). Currently, Chess Wizards is looking for instructors who are willing to teach between 1 and 5 one-hour classes per week.

Instructor Responsibilities and Qualifications:

Classroom Management:

-Maintain an organized and ordered classroom

-Supervise gameplay

-Convey information in an exciting way

Teach Lessons:

-Ability to relate well with children

-Ability to make chess fun!

-Knowledge of basic strategy required

-USCF rating a plus

PR:

-Maintain communication with our Main Office

-Answer parent questions

Pay: $50-$65 per hour

Hours: 1-5 one-hour classes per week

If you are able to fulfill the responsibilities above, while creating a fun and exciting atmosphere in your classroom, then this is the position for you!

To apply, please submit the following:

1) Resume and contact information

2) Availability from 2pm to 5pm on weekdays



Please apply directly through our career portal:

https://chess-wizards.breezy.hr 

For more information About our program, Please check out our website: http://www.chesswizards.com/ "
9,After School Program - Chess Instructor," (Newton, MA)",Jan-03,https://boston.craigslist.org/gbs/edu/d/framingham-after-school-program-chess/6786132432.html,"
compensation: $50-$65 per hour/class

employment type: part-time

","

QR Code Link to This Post


Chess Wizards is looking for energetic people to teach chess in an elementary classroom setting.  If having fun at work is an alien concept to you, then this is probably not the best job to consider!  But if you love chess, and feel you can make it fun for kids of all ages, then you have probably found the perfect job (the only drawback: it is part-time). Currently, Chess Wizards is looking for instructors who are willing to teach between 1 and 5 one-hour classes per week.

Instructor Responsibilities and Qualifications:

Classroom Management:

-Maintain an organized and ordered classroom

-Supervise gameplay

-Convey information in an exciting way

Teach Lessons:

-Ability to relate well with children

-Ability to make chess fun!

-Knowledge of basic strategy required 

-USCF rating a plus

PR:

-Maintain communication with our Main Office

-Answer parent questions

Pay: $40-$60 per hour

Hours: 1-5 one-hour classes per week

If you are able to fulfill the responsibilities above, while creating a fun and exciting atmosphere in your classroom, then this is the position for you!

To apply, please submit the following:

1) Resume and contact information

2) Availability from 2pm to 5pm on weekdays



Please apply directly through our career portal:

https://chess-wizards.breezy.hr 

For more information About our program, Please check out our website: http://www.chesswizards.com/ "
10,After School Program - Chess Instructor," (Framingham, MA)",Jan-03,https://boston.craigslist.org/gbs/edu/d/framingham-after-school-program-chess/6786123899.html,"
compensation: $50-$65 per hour/class

employment type: part-time

","

QR Code Link to This Post


Chess Wizards is looking for energetic people to teach chess in an elementary classroom setting.  If having fun at work is an alien concept to you, then this is probably not the best job to consider!  But if you love chess, and feel you can make it fun for kids of all ages, then you have probably found the perfect job (the only drawback: it is part-time). Currently, Chess Wizards is looking for instructors who are willing to teach between 1 and 5 one-hour classes per week.

Instructor Responsibilities and Qualifications:

Classroom Management:

-Maintain an organized and ordered classroom

-Supervise gameplay

-Convey information in an exciting way

Teach Lessons:

-Ability to relate well with children

-Ability to make chess fun!

-Knowledge of basic strategy required 

-USCF rating a plus

PR:

-Maintain communication with our Main Office

-Answer parent questions

Pay: $40-$60 per hour

Hours: 1-5 one-hour classes per week

If you are able to fulfill the responsibilities above, while creating a fun and exciting atmosphere in your classroom, then this is the position for you!

To apply, please submit the following:

1) Resume and contact information

2) Availability from 2pm to 5pm on weekdays



Please apply directly through our career portal:

https://chess-wizards.breezy.hr 

For more information About our program, Please check out our website: http://www.chesswizards.com/ "
